site,genusspecies,plant_no,water_potential
las_cruces,parexc,1,0.6
las_cruces,parexc,2,0.32
las_cruces,parexc,3,0.47
las_cruces,parexc,4,0.28
las_cruces,parexc,5,0.56
las_cruces,parexc,6,0.62
las_cruces,nipcra,1,0.19
las_cruces,nipcra,2,0.25
las_cruces,nipcra,3,0.35
las_cruces,nipcra,4,0.34
las_cruces,nipcra,5,0.22
las_cruces,nipcra,6,0.26
las_cruces,lommax,1,0.89
las_cruces,lommax,2,0.54
las_cruces,lommax,3,0.37
las_cruces,lommax,4,0.75
las_cruces,lommax,5,0.72
las_cruces,lommax,6,0.58
las_cruces,nepbro,1,0.15
las_cruces,nepbro,2,0.14
las_cruces,nepbro,3,0.17
las_cruces,nepbro,4,0.48
las_cruces,nepbro,5,0.39
las_cruces,nepbro,6,0.03
las_cruces,nepbro,7,0.04
las_cruces,aspuni,1,0.98
las_cruces,aspuni,2,0.42
las_cruces,aspuni,3,0.46
las_cruces,aspuni,4,0.92
las_cruces,aspuni,5,0.35
las_cruces,aspuni,6,0.28
las_cruces,aspuni,7,0.424
las_cruces,dippro,1,0.79
las_cruces,dippro,2,0.54
las_cruces,dippro,3,0.52
las_cruces,dippro,4,0.63
las_cruces,dippro,5,0.55
las_cruces,dippro,6,0.8
las_cruces,dippro,7,0.62
las_cruces,olfcer,1,0.26
las_cruces,olfcer,2,0.25
las_cruces,olfcer,3,0.24
las_cruces,olfcer,4,0.3
las_cruces,olfcer,5,0.32
las_cruces,olfcer,6,0.51
las_cruces,drypat,1,0.41
las_cruces,drypat,2,0.35
las_cruces,drypat,3,0.45
las_cruces,drypat,4,0.38
las_cruces,drypat,5,0.3
las_cruces,drypat,6,0.23
las_cruces,serfra,1,0.2
las_cruces,serfra,2,0.22
las_cruces,serfra,3,0.43
las_cruces,serfra,4,0.47
las_cruces,serfra,5,0.83
las_cruces,serfra,6,0.49
las_cruces,eladec,1,0.5
las_cruces,eladec,2,0.42
las_cruces,eladec,3,0.26
las_cruces,eladec,4,0.54
las_cruces,eladec,5,0.66
las_cruces,eladec,6,0.64
las_cruces,olecos,1,0.78
las_cruces,olecos,2,0.49
las_cruces,olecos,3,0.63
las_cruces,olecos,4,0.44
las_cruces,olecos,5,0.45
las_cruces,olecos,6,0.3
las_cruces,blesch,1,0.41
las_cruces,blesch,2,0.65
las_cruces,blesch,3,0.85
las_cruces,blesch,4,0.45
las_cruces,blesch,5,0.65
las_cruces,blesch,6,0.76
las_cruces,sertri,1,0.4
las_cruces,sertri,2,0.63
las_cruces,sertri,3,0.73
las_cruces,sertri,4,0.52
las_cruces,sertri,5,0.33
las_cruces,sertri,6,0.55
